mean,std,skewness,kurtosis,peak_to_peak,dominant_freq,spectral_centroid,fft_mean,fft_var,top_fft_magnitude_1,top_fft_magnitude_2,top_fft_magnitude_3,top_fft_magnitude_4,top_fft_magnitude_5,file,type
0.00019271284817836564,0.0509106566163041,0.005179961137209293,2.9513234971671896,1.136665188,93191.92021877457,-0.005294680161476919,109.80766037210597,85950.50321006087,14156.493965178784,14198.093744726377,14198.093744726377,14836.213721273289,14836.213721273289,../Data/NOK_Measurements_zipped/NOK_Measurements/NOK_Measurements/2024.02.15_02.35.02_Grinding/raw/Sampling2000KHz_AEKi-0.parquet,NOK
-0.0002902280493388922,0.053310900439070344,0.0038624444922454033,2.9195695818477754,1.0060930080000001,93375.86106317898,6.332910091033262e-11,112.93397421256203,94732.9245834361,15532.051421505295,16180.696212562394,16180.696212562394,16927.75325881808,16927.75325881808,../Data/NOK_Measurements_zipped/NOK_Measurements/NOK_Measurements/2024.02.15_02.35.32_Grinding/raw/Sampling2000KHz_AEKi-0.parquet,NOK
-0.0002701782192218945,0.05031719380447348,-0.0010452432152256211,2.922902476135599,1.01021634,93434.35018399275,1.595625786506072e-10,107.23560988118032,86068.24825825542,18913.572612130465,19262.30946386464,19262.30946386464,20118.886295135453,20118.886295135453,../Data/NOK_Measurements_zipped/NOK_Measurements/NOK_Measurements/2024.02.15_02.33.13_Grinding/raw/Sampling2000KHz_AEKi-0.parquet,NOK
-0.00018565906441351136,0.05198984027437939,0.009095280684959442,3.2784717187740737,1.08581076,109673.73695310077,-0.005875905579006537,109.4670655161759,89416.70925397449,14263.213951769776,14329.486119788477,14329.486119788477,14451.954904309734,14451.954904309734,../Data/NOK_Measurements_zipped/NOK_Measurements/NOK_Measurements/2024.02.15_02.29.09_Grinding/raw/Sampling2000KHz_AEKi-0.parquet,NOK
-1.0474855007452132e-05,0.05067525360850683,-0.008583117187276494,3.4985611030273898,1.004718564,93432.4698815776,1.3622655613724783e-10,106.7869702411178,85867.55824829827,18152.979407069353,18259.978814992097,18259.978814992097,18501.911847736617,18501.911847736617,../Data/NOK_Measurements_zipped/NOK_Measurements/NOK_Measurements/2024.02.15_02.30.47_Grinding/raw/Sampling2000KHz_AEKi-0.parquet,NOK
-0.00037622195587228366,0.049883475543828416,-0.00811185620666879,3.9461006282138156,1.021211892,109678.75227204872,3.461470728529127e-10,104.70103092355798,83144.50642259388,17450.32806528312,17584.486424849034,17584.486424849034,18549.36894088348,18549.36894088348,../Data/NOK_Measurements_zipped/NOK_Measurements/NOK_Measurements/2024.02.15_02.27.22_Grinding/raw/Sampling2000KHz_AEKi-0.parquet,NOK
-0.0001708668844215706,0.053310899035942376,0.013962317799153514,2.7895913726604595,0.986850792,93375.35260816159,-0.0017787216549135392,113.5016931257783,96302.42145877659,18175.53273005046,19456.652960950785,19456.652960950785,19649.010839457802,19649.010839457802,../Data/NOK_Measurements_zipped/NOK_Measurements/NOK_Measurements/2024.02.15_02.37.22_Grinding/raw/Sampling2000KHz_AEKi-0.parquet,NOK
-8.738619943866446e-05,0.05678127089703845,0.01158462003252405,2.8316223639778304,1.0569474360000002,25750.379876586852,-2.2509388831593553e-10,118.04636806421469,112722.91136202753,23839.930583157995,23943.48591110462,23943.48591110462,24911.31443047955,24911.31443047955,../Data/NOK_Measurements_zipped/NOK_Measurements/NOK_Measurements/2024.02.15_02.40.31_Grinding/raw/Sampling2000KHz_AEKi-0.parquet,NOK
-0.0006184438676451211,0.052198246573103194,-0.012239327302784226,2.873325054937962,0.993723012,0.0,-0.00043988015549261723,110.27852451050127,90836.93466822217,15754.294968382004,15754.294968382004,17067.405691247328,17067.405691247328,23375.316680944,../Data/NOK_Measurements_zipped/NOK_Measurements/NOK_Measurements/2024.02.15_02.34.08_Grinding/raw/Sampling2000KHz_AEKi-0.parquet,NOK
-0.0001237693929657084,0.05068132753744897,0.0009289154199941151,3.1097606743016604,0.931873032,93877.47997355484,-0.007480434167874235,105.9696727400102,85869.15095895823,20476.276237610906,21285.04104299492,21285.04104299492,21409.072706981104,21409.072706981104,../Data/NOK_Measurements_zipped/NOK_Measurements/NOK_Measurements/2024.02.15_02.28.14_Grinding/raw/Sampling2000KHz_AEKi-0.parquet,NOK
-0.0002024526749386222,0.05637836719933159,0.0016076675609003942,2.430105660346287,1.061070768,25751.510050519715,1.561876824885448e-10,117.0939783136655,106325.66626837057,21097.05961365863,21733.86466613595,21733.86466613595,22580.236619729483,22580.236619729483,../Data/NOK_Measurements_zipped/NOK_Measurements/NOK_Measurements/2024.02.15_02.39.10_Grinding/raw/Sampling2000KHz_AEKi-0.parquet,NOK
-0.00021153120543753462,0.057312677929425085,0.0047539317679423185,2.4992617946055526,0.98272746,25518.699684213814,1.222531302129255e-10,118.59545441071111,110133.19772229742,16231.304401248806,16732.592896251677,16732.592896251677,17148.13915771272,17148.13915771272,../Data/NOK_Measurements_zipped/NOK_Measurements/NOK_Measurements/2024.02.15_02.38.43_Grinding/raw/Sampling2000KHz_AEKi-0.parquet,NOK
-0.000274477940599365,0.05703727951072117,-0.005178483153384337,2.593447946018772,0.9950974560000001,25518.178384774506,-0.0010930366719438993,118.62764013209092,109177.95208972429,17324.59232933644,17652.449792537776,17652.449792537776,17767.541287341955,17767.541287341955,../Data/NOK_Measurements_zipped/NOK_Measurements/NOK_Measurements/2024.02.15_02.39.37_Grinding/raw/Sampling2000KHz_AEKi-0.parquet,NOK
